WORD;DEFINITION;Type;;GROUPING
246;amity;n;the cooperative and supportive relationship between people
247;amnesty;v;to grant a pardon (to a group)
248;amoral;a;being neither moral nor immoral
249;amorous;a;inclined to love, having a propensity to love
250;amorphous;a;lacking definite form
251;amour;n;a love affair
252;ampere;n;the base si unit of electrical current
253;ampersand;n;the symbol &
254;amphibious;a;able to live in water and on land
255;amphitheater;n;a semi-circular acoustic backdrop for an outdoor venue
256;ample;a;large, great in size, extent, capacity, or bulk, spacious
257;amplitude;n;the measure of something's size, largeness, magnitude
258;amply;adverb;av;abundantly
259;amputate;v;to surgically remove a part of the body, especially a limb
260;amusement;n;entertainment
261;anachronism;n;a chronological mistake, the erroneous dating of an event
262;anagram;n;a word/phrase formed from another rearranging its letters
263;analgesic;a;of or relating to analgesia, anodyne
264;analogous;a;corresponding to something else, bearing some resemblance
265;analogy;n;similarity between like features of two things
266;analyst;n;someone who analyzes
267;analyze;v;to subject to analysis
268;anarchy;n;a state of society without government or law
269;anathema;n;a person or thing detested or loathed
270;anatomy;n;the art of studying the different parts of an organized body
271;ancestry;n;condition as to ancestors, ancestral lineage
272;ancillary;a;subordinate, secondary, auxiliary, accessory
273;anecdote;n;a short account of a history, usually amusing
274;anemia;n;a medical condition of too little hemoglobin
275;anemometer;n;a device to measure wind speed
276;anesthesia;n;a method of preventing sensation, used to eliminate pain
277;anew;adverb;av;over again
278;angelic;a;belonging to, resembling, or proceeding from, angels
279;anglo-saxon;a;native or inhabitant of england prior to the norman conquest
280;anglophobia;n;fear or dislike of england
281;anguish;v;to suffer pain
282;angular;a;relating to an angle or angles, having an angle or angles
283;anhydrous;a;free from water
284;animadversion;n;a criticism, a critical remark
285;animalcule;n;an older term for a microscopic animal or protozoan
286;animate;v;to impart motion or the appearance of motion to
287;animosity;n;strong hostility
288;animus;n;the basic impulses and instincts which govern one's actions
289;annal;n;occurring once a year
290;annex;v;to add something to another, to incorporate into
291;annihilate;v;to reduce to nothing, to destroy, to eradicate
292;annotate;v;to add annotation
293;annuity;n;a specified income payable at stated intervals for period
294;annul;v;to formally revoke the validity of
295;annunciation;n;the act of announcing something
296;anode;n;electrode of an electrochemical cell where oxidation occurs
297;anoint;v;to rub or sprinkle on
298;anomalous;a;deviating from what is standard, expected or normal
299;anomaly;n;a deviation from a rule or from what is regarded as normal
300;anonymity;n;the quality or state of being anonymous, anonymousness
301;antagonism;n;a strong natural dislike or hatred, antipathy
302;ante;v;risks, stakes
303;antecede;v;to go before, to precede
304;antechamber;n;a small room used as an entryway area to a larger room
305;antedate;v;to occur before an event or time, to predate
306;antediluvian;a;old, ancient
307;antemeridian;a;of or relating to morning, that happens in the morning
308;antemundane;a;being or occurring prior to the creation of the world
309;antenatal;a;occurring or existing before birth
310;anterior;a;before in place
311;anteroom;n;a waiting room, a small room before a larger one
312;anthology;n;a book or collection of writings
313;anthracite;n;a slow-burning coal
314;anthropocentric;a;giving preference to humans above all other considerations
315;anthropoid;a;having characteristics of a human being
316;anthropology;n;the holistic scientific and social study of humanity
